Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
468,9.5e-07,384.5,9.5e-07,468,0.000924
469,9.5e-07,385,9.5e-07,469,0.000719
470,9.5e-07,385.5,9.5e-07,470,0.000625
471,9.5e-07,386,9.5e-07,471,0.000635
472,9.5e-07,386.5,9.5e-07,472,0.000553
473,9.5e-07,387,9.5e-07,473,0.000473
474,9.5e-07,387.5,9.5e-07,474,0.000593
475,9.5e-07,388,9.5e-07,475,0.000674
476,9.5e-07,388.5,9.5e-07,476,0.000578
477,9.5e-07,389,9.5e-07,477,0.000597
478,9.5e-07,389.5,9.5e-07,478,0.00059
479,9.5e-07,390,9.5e-07,479,0.000506
480,9.5e-07,390.5,9.5e-07,480,0.000517
481,9.5e-07,391,9.5e-07,481,0.000453
482,9.5e-07,391.5,9.5e-07,482,0.000391
483,9.5e-07,392,9.5e-07,483,0.00045
484,9.5e-07,392.5,9.5e-07,484,0.000644
485,9.5e-07,393,9.5e-07,485,0.000675
486,9.5e-07,393.5,9.5e-07,486,0.000666
487,9.5e-07,394,9.5e-07,487,0.00069
488,9.5e-07,394.5,9.5e-07,488,0.000834
489,9.5e-07,395,9.5e-07,489,0.000658
490,9.5e-07,395.5,9.5e-07,490,0.000628
491,9.5e-07,396,9.5e-07,491,0.000438
492,9.5e-07,396.5,9.5e-07,492,0.000455
493,9.5e-07,397,9.5e-07,493,0.000378
494,9.5e-07,397.5,9.5e-07,494,0.00048
495,9.5e-07,398,9.5e-07,495,0.000495
496,9.5e-07,398.5,9.5e-07,496,0.00049
497,9.5e-07,399,9.5e-07,497,0.00073
498,9.5e-07,399.5,9.5e-07,498,0.000944
499,9.5e-07,400,9.5e-07,499,0.00108
500,9.5e-07,400.5,9.5e-07,500,0.00108
501,9.5e-07,401,9.5e-07,501,0.00103
502,9.5e-07,401.5,9.5e-07,502,0.000813
503,9.5e-07,402,9.5e-07,503,0.000625
504,9.5e-07,402.5,9.5e-07,504,0.000568
505,9.5e-07,403,9.5e-07,505,0.000469
506,9.5e-07,403.5,9.5e-07,506,0.000508
507,9.5e-07,404,9.5e-07,507,0.000514
508,9.5e-07,404.5,9.5e-07,508,0.000534
509,9.5e-07,405,9.5e-07,509,0.00077
