Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
513,2.15e-07,513,8.62e-08,593,0.00426
514,1.85e-07,514,9.12e-08,594,0.0037
515,3.78e-07,515,5.16e-08,595,0.00268
516,2.1e-07,516,6.7e-08,596,0.00183
517,2.64e-07,517,1.32e-07,597,0.00123
518,3.09e-07,518,7.24e-08,598,0.000983
519,2.57e-07,519,7.24e-08,599,0.000859
520,3.05e-07,520,1.04e-07,600,0.000789
521,2.62e-07,521,2.97e-08,601,0.000488
522,2.79e-07,522,8.24e-08,602,0.000628
523,2.93e-07,523,6.89e-08,603,0.000653
524,1.78e-07,524,9.74e-08,604,0.000706
525,2.22e-07,525,5.04e-08,605,0.00092
526,3e-07,526,7.37e-08,606,0.00119
527,3.16e-07,527,9.6e-08,607,0.00143
528,2.5e-07,528,9.5e-08,608,0.00167
529,2.95e-07,529,7.6e-08,609,0.00153
530,2.83e-07,530,9.72e-08,610,0.00126
531,2.31e-07,531,1.48e-07,611,0.000998
532,2.13e-07,532,6.43e-08,612,0.000699
533,2.81e-07,533,8.64e-08,613,0.000509
534,2.71e-07,534,6.36e-08,614,0.000342
535,3.01e-07,535,9.95e-08,615,0.000335
536,3.08e-07,536,1.09e-07,616,0.000333
537,2.06e-07,537,4.36e-08,617,0.000175
538,2.29e-07,538,1.23e-07,618,0.000344
539,2.91e-07,539,7.48e-08,619,0.000272
540,2.85e-07,540,9.19e-08,620,0.000318
541,1.65e-07,541,9.94e-08,621,0.000511
542,3.99e-07,542,8.71e-08,622,0.000731
543,2.4e-07,543,1.23e-07,623,0.000824
544,2.48e-07,544,8.86e-08,624,0.000938
545,1.48e-07,545,7.02e-08,625,0.00107
546,2.48e-07,546,1.46e-07,626,0.00102
547,2.75e-07,547,8.21e-08,627,0.000822
548,3.25e-07,548,1.46e-07,628,0.00072
549,2.06e-07,549,9.42e-08,629,0.00048
550,1.92e-07,550,6.97e-08,630,0.000345
551,2.66e-07,551,1.24e-07,631,0.000351
552,2.44e-07,552,9.16e-08,632,0.000283
553,1.58e-07,553,9.51e-08,633,0.000288
554,2.74e-07,554,1.38e-07,634,0.000264
555,2.67e-07,555,1.4e-07,635,0.000352
556,2.91e-07,556,5.28e-08,636,0.000365
557,1.97e-07,557,1.1e-07,637,0.000388
558,2.56e-07,558,5.81e-08,638,0.000381
559,2.82e-07,559,1.03e-07,639,0.000546
560,2.68e-07,560,1.27e-07,640,0.000704
561,2.57e-07,561,6.59e-08,641,0.000824
562,2.64e-07,562,6.44e-08,642,0.000969
563,2.84e-07,563,1.11e-07,643,0.00104
564,1.86e-07,564,6.47e-08,644,0.00108
565,2.68e-07,565,8.23e-08,645,0.000969
566,1.91e-07,566,1.12e-07,646,0.000901
567,3.58e-07,567,1.04e-07,647,0.000791
568,1.93e-07,568,1.03e-07,648,0.000614
569,3.14e-07,569,1.42e-07,649,0.000645
570,3.29e-07,570,8.72e-08,650,0.000484
571,3.72e-07,571,1.57e-07,651,0.000491
572,3.42e-07,572,1.27e-07,652,0.000559
573,1.82e-07,573,4.26e-08,653,0.00051
574,2.85e-07,574,1.41e-07,654,0.000632
575,3.5e-07,575,1.4e-07,655,0.000652
576,4.42e-07,576,1.06e-07,656,0.000701
577,3.29e-07,577,1.44e-07,657,0.000812
578,3.54e-07,578,1.07e-07,658,0.000942
579,3.25e-07,579,8.15e-08,659,0.000968
580,3.23e-07,580,4.96e-08,660,0.00107
581,1.71e-07,581,1.52e-07,661,0.00112
582,2.67e-07,582,9.17e-08,662,0.00116
583,2.46e-07,583,8.98e-08,663,0.00113
584,2.97e-07,584,2.04e-08,664,0.00114
585,3.46e-07,585,1.36e-07,665,0.00123
586,3.66e-07,586,9.4e-08,666,0.00127
587,4.21e-07,587,8.86e-08,667,0.00142
588,3.71e-07,588,1e-10,668,0.00157
589,2.68e-07,589,1.43e-07,669,0.00176
590,2.9e-07,590,1.1e-07,670,0.00207
591,3.47e-07,591,1e-10,671,0.0026
592,4.04e-07,592,9.91e-08,672,0.00319
593,4.63e-07,593,1.26e-07,673,0.00365
594,3.9e-07,594,8.15e-08,674,0.00405
595,5.4e-07,595,1e-10,675,0.00414
596,3.86e-07,596,4.99e-08,676,0.00394
597,4.72e-07,597,6.07e-09,677,0.00346
598,4.5e-07,598,3.71e-08,678,0.00294
599,4.73e-07,599,8.08e-08,679,0.00249
600,5.38e-07,600,7.23e-09,680,0.00208
601,5.76e-07,601,6.47e-08,681,0.00183
602,4.55e-07,602,1.2e-08,682,0.00163
603,6.09e-07,603,1.18e-07,683,0.00166
604,5.07e-07,604,8.93e-08,684,0.00162
605,6.87e-07,605,4.54e-08,685,0.00163
606,7.47e-07,606,1e-10,686,0.0018
607,7.86e-07,607,1.01e-07,687,0.00204
608,7.96e-07,608,1.15e-07,688,0.00246
609,6.9e-07,609,6.9e-08,689,0.00322
