Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
531,1e-10,532,9.5e-07,611,0.000543
532,1.41e-07,533,9.5e-07,612,0.000618
533,5.83e-08,534,9.5e-07,613,0.000689
534,3.36e-09,535,9.5e-07,614,0.000814
535,2.94e-08,536,9.5e-07,615,0.000883
536,9.64e-08,537,9.5e-07,616,0.000931
537,3.67e-08,538,9.5e-07,617,0.000828
538,2.43e-07,539,9.5e-07,618,0.000655
539,7.53e-08,540,9.5e-07,619,0.000595
540,4.87e-09,541,9.5e-07,620,0.000424
541,5.38e-08,542,9.5e-07,621,0.000292
542,3.26e-08,543,9.5e-07,622,0.000399
543,6.63e-08,544,9.5e-07,623,0.000222
544,1.05e-08,545,9.5e-07,624,0.000282
545,3.19e-08,546,9.5e-07,625,0.000237
546,9.89e-08,547,9.5e-07,626,0.000349
547,5.66e-08,548,9.5e-07,627,0.000357
548,1.14e-07,549,9.5e-07,628,0.000385
549,1.76e-07,550,9.5e-07,629,0.000428
550,4.5e-09,551,9.5e-07,630,0.000512
551,5.99e-08,552,9.5e-07,631,0.000648
552,3.68e-08,553,9.5e-07,632,0.000804
553,1e-10,554,9.5e-07,633,0.000982
554,9.73e-08,555,9.5e-07,634,0.000975
555,7.57e-08,556,9.5e-07,635,0.000967
556,5.89e-08,557,9.5e-07,636,0.000856
557,1.03e-07,558,9.5e-07,637,0.000743
558,9.81e-08,559,9.5e-07,638,0.000671
559,1.03e-07,560,9.5e-07,639,0.000603
560,6.83e-08,561,2.39e-06,640,0.000531
561,7.26e-08,562,1.39e-06,641,0.000551
562,3.42e-08,563,9.5e-07,642,0.000583
563,5.31e-08,564,9.5e-07,643,0.000589
564,5.42e-08,565,9.5e-07,644,0.000661
565,6.61e-08,566,9.5e-07,645,0.000664
566,6.79e-08,567,9.5e-07,646,0.000682
567,1.58e-07,568,9.5e-07,647,0.00082
568,4.79e-08,569,9.5e-07,648,0.000827
