Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
696,2.6e-06,498.5,2.28e-07,696,0.942
697,2.4e-06,499,1.5e-07,697,0.94
698,2.82e-06,499.5,1.24e-07,698,0.94
699,3.16e-06,500,2.12e-07,699,0.94
700,3.25e-06,500.5,2.2e-07,700,0.94
701,3.09e-06,501,2.74e-07,701,0.941
702,2.41e-06,501.5,2.79e-07,702,0.942
703,1.68e-06,502,3.98e-07,703,0.942
704,1.23e-06,502.5,5.38e-07,704,0.943
705,1.13e-06,503,1.21e-06,705,0.945
706,1.06e-06,503.5,5.58e-06,706,0.948
707,1.04e-06,504,3.2e-05,707,0.951
708,1.16e-06,504.5,7.36e-05,708,0.954
709,1.78e-06,505,4.82e-05,709,0.955
710,2.45e-06,505.5,1.16e-05,710,0.957
711,2.56e-06,506,5.48e-06,711,0.959
712,1.55e-06,506.5,4.3e-06,712,0.962
713,9.5e-07,507,4.08e-06,713,0.963
714,9.5e-07,507.5,3.05e-06,714,0.965
715,9.5e-07,508,2.4e-06,715,0.967
716,9.5e-07,508.5,2.09e-06,716,0.969
717,9.5e-07,509,1.51e-06,717,0.97
718,9.5e-07,509.5,1.33e-06,718,0.971
719,9.5e-07,510,1.29e-06,719,0.972
720,9.5e-07,510.5,1.14e-06,720,0.972
721,9.5e-07,511,1.34e-06,721,0.972
722,9.5e-07,511.5,1.57e-06,722,0.971
723,9.5e-07,512,1.77e-06,723,0.971
724,9.5e-07,512.5,2.01e-06,724,0.97
725,9.5e-07,513,2.23e-06,725,0.969
726,9.5e-07,513.5,1.98e-06,726,0.969
727,9.5e-07,514,1.67e-06,727,0.965
728,9.5e-07,514.5,1.3e-06,728,0.963
729,9.5e-07,515,1.2e-06,729,0.962
730,9.5e-07,515.5,1.12e-06,730,0.96
731,9.5e-07,516,1.06e-06,731,0.958
732,9.5e-07,516.5,1.25e-06,732,0.956
733,9.5e-07,517,1.55e-06,733,0.954
734,9.5e-07,517.5,2.07e-06,734,0.952
735,9.5e-07,518,3.11e-06,735,0.95
736,9.5e-07,518.5,5.68e-06,736,0.949
737,9.5e-07,519,1.09e-05,737,0.948
738,9.5e-07,519.5,2.49e-05,738,0.948
739,9.5e-07,520,5.26e-05,739,0.947
740,9.5e-07,520.5,8.21e-05,740,0.947
741,9.5e-07,521,8.14e-05,741,0.947
742,9.5e-07,521.5,5.07e-05,742,0.947
743,9.5e-07,522,2.4e-05,743,0.947
744,9.5e-07,522.5,1.07e-05,744,0.949
745,9.5e-07,523,5.22e-06,745,0.948
746,9.5e-07,523.5,2.97e-06,746,0.951
747,9.5e-07,524,1.96e-06,747,0.954
