Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
701,1e-08,501,0.982,781,0.613
702,1e-08,501.5,0.986,782,0.487
703,1e-08,502,0.987,783,0.376
704,1e-08,502.5,0.99,784,0.307
705,1e-08,503,0.989,785,0.266
706,1e-08,503.5,0.989,786,0.241
707,1e-08,504,0.99,787,0.223
708,1e-08,504.5,0.989,788,0.209
709,1e-08,505,0.99,789,0.2
710,1e-08,505.5,0.99,790,0.192
711,1e-08,506,0.991,791,0.185
712,1e-08,506.5,0.99,792,0.181
713,1.75e-08,507,0.989,793,0.179
714,1e-08,507.5,0.989,794,0.177
715,1e-08,508,0.988,795,0.178
716,1e-08,508.5,0.988,796,0.18
717,1e-08,509,0.989,797,0.184
718,2.51e-07,509.5,0.988,798,0.189
719,2.05e-06,510,0.988,799,0.197
720,2.18e-06,510.5,0.988,800,0.208
721,4.66e-07,511,0.986,801,0.221
722,1.55e-07,511.5,0.987,802,0.239
723,3.47e-07,512,0.987,803,0.26
724,2.33e-07,512.5,0.987,804,0.287
725,2.62e-07,513,0.987,805,0.318
726,6.65e-07,513.5,0.987,806,0.351
727,8.91e-07,514,0.989,807,0.385
728,1.33e-06,514.5,0.989,808,0.412
729,1.36e-06,515,0.989,809,0.421
730,1.08e-06,515.5,0.99,810,0.406
731,1.26e-06,516,0.988,811,0.365
732,1.16e-06,516.5,0.986,812,0.303
733,1.24e-06,517,0.985,813,0.243
734,9.85e-07,517.5,0.984,814,0.188
735,9.17e-07,518,0.983,815,0.144
736,7.15e-07,518.5,0.984,816,0.111
737,6.34e-07,519,0.985,817,0.0858
738,4.53e-07,519.5,0.988,818,0.0672
739,5.05e-07,520,0.99,819,0.0532
740,4.6e-07,520.5,0.988,820,0.0399
741,4.72e-07,521,0.989,821,0.0319
742,3.03e-07,521.5,0.989,822,0.0259
743,3.83e-07,522,0.987,823,0.0212
744,5.29e-07,522.5,0.988,824,0.0174
745,4.07e-07,523,0.988,825,0.0144
746,1.21e-07,523.5,0.987,826,0.012
747,1.29e-07,524,0.987,827,0.0102
748,1.17e-07,524.5,0.986,828,0.00847
749,1.25e-07,525,0.986,829,0.00738
750,4.44e-07,525.5,0.986,830,0.00639
751,2.38e-07,526,0.987,831,0.00541
752,6.85e-08,526.5,0.988,832,0.00475
753,1e-08,527,0.985,833,0.00417
754,1.22e-07,527.5,0.984,834,0.00366
755,1e-08,528,0.984,835,0.00318
756,3.69e-07,528.5,0.982,836,0.00282
