Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
479,9.5e-07,479,9.5e-07,529,0.000124
480,9.5e-07,480,9.5e-07,530,0.000204
481,9.5e-07,481,9.5e-07,531,0.000159
482,9.5e-07,482,9.5e-07,532,0.000185
483,9.5e-07,483,9.5e-07,533,0.000202
484,9.5e-07,484,9.5e-07,534,0.000268
485,9.5e-07,485,9.5e-07,535,0.000308
486,9.5e-07,486,9.5e-07,536,0.000306
487,9.5e-07,487,9.5e-07,537,0.000354
488,9.5e-07,488,9.5e-07,538,0.000527
489,9.5e-07,489,9.5e-07,539,0.000688
490,9.5e-07,490,9.5e-07,540,0.000863
491,9.5e-07,491,9.5e-07,541,0.00115
492,9.5e-07,492,9.5e-07,542,0.00149
493,9.5e-07,493,9.5e-07,543,0.00207
494,9.5e-07,494,9.5e-07,544,0.00286
495,9.5e-07,495,9.5e-07,545,0.00385
496,9.5e-07,496,9.5e-07,546,0.00509
497,9.5e-07,497,9.5e-07,547,0.00649
498,9.5e-07,498,9.5e-07,548,0.00811
499,9.5e-07,499,9.5e-07,549,0.00987
500,9.5e-07,500,9.5e-07,550,0.0116
501,9.5e-07,501,9.5e-07,551,0.0135
502,9.5e-07,502,9.5e-07,552,0.0158
503,9.5e-07,503,9.5e-07,553,0.0183
504,9.5e-07,504,9.5e-07,554,0.0219
505,9.5e-07,505,9.5e-07,555,0.0262
506,9.5e-07,506,9.5e-07,556,0.0326
507,9.5e-07,507,9.5e-07,557,0.042
508,9.5e-07,508,9.5e-07,558,0.0537
509,9.5e-07,509,9.5e-07,559,0.0694
510,9.5e-07,510,9.5e-07,560,0.0971
511,9.5e-07,511,9.5e-07,561,0.136
512,9.5e-07,512,9.5e-07,562,0.186
513,9.5e-07,513,9.5e-07,563,0.252
514,9.5e-07,514,9.5e-07,564,0.32
515,9.5e-07,515,9.5e-07,565,0.392
516,9.5e-07,516,9.5e-07,566,0.452
517,1.15e-06,517,9.5e-07,567,0.503
518,1.64e-06,518,9.5e-07,568,0.551
519,5.23e-06,519,9.5e-07,569,0.608
520,1.19e-05,520,9.5e-07,570,0.68
521,2.78e-05,521,9.5e-07,571,0.759
522,7.43e-05,522,9.5e-07,572,0.831
523,0.000196,523,9.5e-07,573,0.887
524,0.000603,524,9.5e-07,574,0.92
525,0.00209,525,9.5e-07,575,0.936
526,0.00874,526,9.5e-07,576,0.942
527,0.0459,527,9.5e-07,577,0.943
528,0.253,528,9.5e-07,578,0.942
529,0.734,529,9.5e-07,579,0.941
530,0.972,530,9.5e-07,580,0.941
531,0.984,531,9.5e-07,581,0.94
532,0.987,532,9.5e-07,582,0.942
533,0.984,533,9.5e-07,583,0.943
534,0.973,534,9.5e-07,584,0.944
535,0.976,535,9.5e-07,585,0.944
536,0.978,536,9.5e-07,586,0.944
537,0.989,537,9.5e-07,587,0.944
538,0.986,538,9.5e-07,588,0.944
539,0.982,539,9.5e-07,589,0.943
540,0.979,540,9.5e-07,590,0.944
541,0.985,541,9.5e-07,591,0.944
542,0.984,542,9.5e-07,592,0.945
543,0.987,543,9.5e-07,593,0.945
544,0.987,544,9.5e-07,594,0.946
545,0.988,545,9.5e-07,595,0.945
546,0.989,546,9.5e-07,596,0.945
547,0.991,547,9.5e-07,597,0.944
548,0.978,548,9.5e-07,598,0.944
549,0.975,549,9.5e-07,599,0.943
550,0.984,550,9.5e-07,600,0.944
551,0.989,551,9.5e-07,601,0.946
552,0.971,552,9.5e-07,602,0.947
553,0.716,553,9.5e-07,603,0.947
554,0.381,554,9.5e-07,604,0.948
555,0.057,555,9.5e-07,605,0.948
556,0.0254,556,9.5e-07,606,0.949
557,0.00723,557,9.5e-07,607,0.95
558,0.00238,558,9.5e-07,608,0.95
559,0.000898,559,9.5e-07,609,0.95
560,0.000371,560,9.5e-07,610,0.949
561,0.000161,561,9.5e-07,611,0.949
562,7.69e-05,562,9.5e-07,612,0.949
563,3.55e-05,563,9.5e-07,613,0.948
564,1.85e-05,564,1.29e-06,614,0.946
565,9.09e-06,565,2.74e-06,615,0.947
566,4.5e-06,566,6.9e-06,616,0.948
567,2.48e-06,567,1.8e-05,617,0.948
568,1.27e-06,568,5.46e-05,618,0.949
569,1.99e-06,569,0.000206,619,0.95
570,1.74e-06,570,0.000934,620,0.95
571,9.5e-07,571,0.00469,621,0.95
572,9.5e-07,572,0.0206,622,0.95
573,2.26e-06,573,0.0664,623,0.948
574,9.5e-07,574,0.195,624,0.947
575,9.5e-07,575,0.509,625,0.945
576,9.5e-07,576,0.845,626,0.943
577,9.5e-07,577,0.936,627,0.942
578,9.5e-07,578,0.948,628,0.94
579,9.5e-07,579,0.958,629,0.939
580,9.5e-07,580,0.955,630,0.938
581,9.5e-07,581,0.95,631,0.939
582,9.5e-07,582,0.954,632,0.939
583,9.5e-07,583,0.958,633,0.94
584,9.5e-07,584,0.959,634,0.942
585,9.5e-07,585,0.96,635,0.944
586,9.5e-07,586,0.962,636,0.946
587,9.5e-07,587,0.959,637,0.948
588,9.5e-07,588,0.96,638,0.949
589,9.5e-07,589,0.958,639,0.95
590,9.5e-07,590,0.959,640,0.95
591,9.5e-07,591,0.96,641,0.951
592,9.5e-07,592,0.96,642,0.949
593,9.5e-07,593,0.96,643,0.948
594,9.5e-07,594,0.958,644,0.946
595,9.5e-07,595,0.96,645,0.943
596,9.5e-07,596,0.958,646,0.94
597,9.5e-07,597,0.957,647,0.94
598,9.5e-07,598,0.96,648,0.936
599,9.5e-07,599,0.958,649,0.933
600,9.5e-07,600,0.959,650,0.932
601,9.5e-07,601,0.957,651,0.932
602,9.5e-07,602,0.956,652,0.932
603,9.5e-07,603,0.956,653,0.934
604,9.5e-07,604,0.955,654,0.934
605,9.5e-07,605,0.955,655,0.937
